filename,,name,filename,original_shape,transformed_shape,params,reduction_time,accuracy,train_time,score_series
"1000_0_(-100, 100)",206,PCA,"1000_0_(-100, 100)","(20000, 10000)","(20110, 201)","{'n_components': 201, 'svd_solver': 'auto'}",32.497523983,1.0,0.466017715,6.0606060606060606
"1000_0_(-100, 100)",235,extremely sparse JL transform,"1000_0_(-100, 100)","(20000, 20000)","(20110, 4381)","{'ep': 0.05, 'de': 0.1}",5.41286983,0.92,3.841234239,21.969384106666674
"1000_0_(-1000, 1000)",0,extremely sparse JL transform,"1000_0_(-1000, 1000)","(1000, 1000)","(1110, 2351)","{'ep': 0.05, 'de': 0.05}",0.04094724,1.0,0.639576492,200.0
"1000_0_(-1000, 1000)",26,extremely sparse JL transform,"1000_0_(-1000, 1000)","(1000, 10000)","(1110, 3135)","{'ep': 0.05, 'de': 0.05}",0.110841285,1.0,1.005544889,200.0
"1000_0_(-1000, 1000)",52,extremely sparse JL transform,"1000_0_(-1000, 1000)","(1000, 20000)","(1110, 3371)","{'ep': 0.05, 'de': 0.05}",0.249867555,1.0,0.732613806,200.0
"1000_0_(-1000, 1000)",78,extremely sparse JL transform,"1000_0_(-1000, 1000)","(10000, 1000)","(10110, 2961)","{'ep': 0.05, 'de': 0.05}",0.404436057,1.0,1.746135496,200.0
"1000_0_(-1000, 1000)",126,JL transform,"1000_0_(-1000, 1000)","(10000, 10000)","(10110, 88)","{'ep': 0.9, 'de': 0.05}",0.562680415,1.0,0.32395227,200.0
"1000_0_(-1000, 1000)",144,sparse JL transform,"1000_0_(-1000, 1000)","(10000, 20000)","(10110, 88)","{'ep': 0.9, 'de': 0.05}",0.979430818,1.0,0.224792764,200.0
"1000_0_(-1000, 1000)",156,extremely sparse JL transform,"1000_0_(-1000, 1000)","(20000, 1000)","(20110, 3151)","{'ep': 0.05, 'de': 0.05}",0.804991067,1.0,2.589389288,200.0
"1000_0_(-1000, 1000)",195,sparse JL transform,"1000_0_(-1000, 1000)","(20000, 10000)","(20110, 221)","{'ep': 0.5, 'de': 0.1}",1.5657277,1.0,0.353197388,100.0
"1000_0_(-1000, 1000)",223,sparse JL transform,"1000_0_(-1000, 1000)","(20000, 20000)","(20110, 68)","{'ep': 0.9, 'de': 0.1}",1.826056838,0.97,0.222865815,85.87340257
"1000_0_(-500, 500)",0,extremely sparse JL transform,"1000_0_(-500, 500)","(1000, 1000)","(1110, 2351)","{'ep': 0.05, 'de': 0.05}",0.031957114,1.0,0.753881516,200.0
"1000_0_(-500, 500)",26,extremely sparse JL transform,"1000_0_(-500, 500)","(1000, 10000)","(1110, 3135)","{'ep': 0.05, 'de': 0.05}",0.145210693,1.0,0.747324703,200.0
"1000_0_(-500, 500)",53,extremely sparse JL transform,"1000_0_(-500, 500)","(1000, 20000)","(1110, 3233)","{'ep': 0.05, 'de': 0.1}",0.243390555,1.0,0.933292537,200.0
